"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"1";"";"SJ";"SJ";"SJ5";"SMD solder JUMPER";"";"";"";"unknown";"";"";"";
"4";"0.1uF";"C-EUC0603";"C0603";"C4, C6, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"9";"0.1uF";"C-EUC0603";"C0603";"C3, C7, C8, C11, C12, C13, C14, C15, C16";"CAPACITOR, European symbol";"";"MC0603B104K160CT";"";"06R4923";"";"";"";
"1";"1.5k";"R-EU_R0603";"R0603";"R21";"RESISTOR, European symbol";"";"MCMR06X1501FTL";"";"86T3542";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R24";"RESISTOR, European symbol";"";"MCMR06X000 PTL";"";"86T3500";"";"";"";
"1";"100R";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"7";"1k";"R-EU_R0603";"R0603";"R2, R3, R4, R48, R49, R50, R51";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"4";"1k";"R-EU_R0603";"R0603";"R14, R15, R16, R17";"RESISTOR, European symbol";"";"MCMR06X4701FTL";"";"86T3649";"";"";"";
"2";"1k5";"R-EU_R0603";"R0603";"R27, R41";"RESISTOR, European symbol";"";"MCMR06X000 PTL";"";"86T3500";"";"";"";
"2";"22-05-7028-02";"22-05-7028-02";"7395-02";"J1, J2";"CONNECTOR";"";"";"9731601";"unknown";"";"";"";
"5";"22-05-7038-03";"22-05-7038-03";"7395-03";"J3, J4, J5, J6, J9";"CONNECTOR";"";"";"9731610 ";"unknown";"";"";"";
"1";"22-05-7058-05";"22-05-7058-05";"7395-05";"J7";"CONNECTOR";"";"";"unknown";"unknown";"";"";"";
"2";"330";"R-EU_R0603";"R0603";"R42, R43";"RESISTOR, European symbol";"";"MCMR06X000 PTL";"";"86T3500";"";"";"";
"1";"4.7K";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"MCMR06X4701FTL";"";"86T3649";"";"";"";
"10";"4.7k";"R-EU_R0603";"R0603";"R6, R25, R26, R29, R30, R31, R44, R45, R46, R47";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"4.7k";"R-EU_R0603";"R0603";"R7, R9, R10";"RESISTOR, European symbol";"";"MCMR06X4701FTL";"";"86T3649";"";"";"";
"1";"4.7uF";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"4.7uF";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"";"MC0603X475K100CT";"";"06X6198";"";"";"";
"1";"47uH";"82473C";"8200";"L1";"";"";"82473C";"";"40M7122";"";"";"47uH";
"9";"4k7";"R-EU_R0603";"R0603";"R11, R12, R13, R18, R19, R20, R22, R23, R40";"RESISTOR, European symbol";"";"MCMR06X000 PTL";"";"86T3500";"";"";"";
"6";"90814-0210";"90814-0210";"MOLEX_90814-0210";"U5, U6, X1, X2, X7, X8";"CONN HEADER 10POS 1.27MM SMD TIN";"";"90814-0210";"1757026";"34R6217";"CONN-10POS";"Molex";"";
"4";"Blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED6, LED7, LED8, LED9";"LED";"";"";"";"";"";"";"";
"3";"CC-BY-NC-SA";"CC-BY-NC-SA";"CC-BY-NC-SA";"U$1, U$4, U$5";"";"";"";"";"";"";"";"";
"1";"EC20AE";"EC20AE";"EC20A";"U$2";"";"";"";"";"";"";"";"";
"3";"EXMACHINA-LOGO-NAME";"EXMACHINA-LOGO-NAME";"EXM-LOGO-BASELINE";"U$3, U$6, U$7";"";"";"";"";"";"";"";"";
"4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP1, JP2, JP3, JP4";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"1";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED5";"LED";"";"OVS-0604";"";"15R2206";"";"";"";
"1";"HCPL0201";"HCPL0201";"SOIC08";"OK2";"";"";"";"";"";"";"";"";
"1";"HCPL0631";"HCPL0631";"SOIC08";"OK1";"";"";"";"";"";"";"";"";
"1";"LT1813CS8";"LT1813CS8";"SOIC8";"U1";"Dual AOP 3mA, 100MHz, 750V/us";"";"";"";"";"";"";"";
"1";"M20DX256";"M20DX256";"MK_CUSTOM";"U8";"";"";"";"";"";"";"";"";
"1";"MC41605A12W";"MC41605A12W";"CONNECTOR";"LCD1";"";"";"";"";"";"";"";"";
"1";"MMBT2222AL";"MMBT2222AL";"SOT-23";"T1";"General Purpose Transistors";"";"";"";"";"";"";"";
"8";"MOUNT-PAD2.5";"MOUNT-PAD2.5";"P2.5";"MP1, MP2, MP3, MP4, MP5, MP6, MP7, MP8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"1";"NC5MAV-SW";"NC5MAV-SW";"NC5MAV-SW";"X6";"Neutrik Audio Connector XLR SERIES";"";"NC5MAV-SW";"unknown";"31M5714";"";"";"";
"1";"NTE0505MC";"NTE0505MC";"NTE";"DC1";"";"C & D TECHNOLOGIES, INC";"NTE0505MC";"";"61K3399";"";"";"";
"1";"PCA9665D";"PCA9665D";"SOT163-1";"U4";"";"";"";"";"";"";"";"";
"1";"RKJXTF42001";"RKJXTF42001";"RKJXT1F";"ENC1";"4-directional Stick Switch (with Encoder + Center-push Function)";"";"";"";"";"";"";"";
"2";"SN74LVC2G17DBVR";"SN74LVC2G17DBVR";"SOT95P280X145-6N";"U2, U3";"DUAL SCHMITT-TRIGGER BUFFER";"TEXAS INSTRUMENTS";"SN74LVC2G17DBVR";"1470776";"76C4207";"SOT-23-6";"Texas Instruments";"";
